network,geoname_id,latitude,longitude,accuracy_radius
1.227.153.0/24,1843140,37.4954,127.0621,100
1.227.154.0/23,1843140,37.4954,127.0621,100
1.227.156.0/22,1843140,37.4954,127.0621,100
1.227.160.0/22,1843847,37.1825,126.8783,200
1.227.164.0/22,1840211,36.2039,127.0847,200
1.227.168.0/22,1835841,37.5112,126.9741,200
1.227.172.0/22,1835235,36.3214,127.4197,20
1.227.176.0/22,11523293,36.6092,127.2919,1
1.227.180.0/22,1843140,37.4954,127.0621,1000
1.227.184.0/21,1834328,37.5819,127.0541,5
1.227.192.0/21,1835841,37.5112,126.9741,200
1.227.200.0/22,1835848,37.5985,126.9783,20
1.227.204.0/24,1897000,37.4094,127.1107,20
1.227.205.0/24,1835848,37.5985,126.9783,20
1.227.206.0/23,1835848,37.5985,126.9783,20
1.227.208.0/21,1835848,37.5985,126.9783,20
1.227.216.0/22,1842030,37.3424,126.9222,1
1.227.220.0/22,1835841,37.5112,126.9741,200
1.227.224.0/20,1835841,37.5112,126.9741,200
1.227.240.0/21,1835848,37.5985,126.9783,1
1.227.248.0/21,8349531,37.6531,127.0725,10
1.228.0.0/22,1835841,37.5112,126.9741,200
1.228.4.0/22,1835848,37.5985,126.9783,1
1.228.8.0/21,1835848,37.5985,126.9783,1
1.228.16.0/22,1845759,36.8063,127.1523,100
1.228.20.0/23,1835848,37.5985,126.9783,100
1.228.22.0/23,1845759,36.8063,127.1523,100
1.228.24.0/23,8349531,37.6531,127.0725,10
1.228.26.0/24,8349531,37.6531,127.0725,10
1.228.27.0/24,1835848,37.5985,126.9783,10
1.228.28.0/22,1845759,36.8063,127.1523,1000
1.228.32.0/19,1835841,37.5112,126.9741,200
1.228.64.0/21,1845759,36.8063,127.1523,10
1.228.72.0/21,1835841,37.5112,126.9741,200
1.228.80.0/21,1839726,36.7836,127.0042,10
1.228.88.0/22,1838508,36.2626,126.858,50
1.228.92.0/22,1834885,36.9167,126.6667,50
1.228.96.0/22,1845759,36.8063,127.1523,1
1.228.100.0/22,1839726,36.8079,126.9777,5
1.228.104.0/21,1845759,36.8063,127.1523,1
1.228.112.0/20,1835841,37.5112,126.9741,200
1.228.128.0/21,1835841,37.5112,126.9741,200
1.228.136.0/22,1839726,36.7836,127.0042,1000
1.228.140.0/22,1844174,36.5671,126.6263,1000
1.228.144.0/21,1845759,36.8063,127.1523,500
1.228.152.0/21,1835841,37.5112,126.9741,200
1.228.160.0/21,1834885,36.9167,126.6667,20
1.228.168.0/21,1835841,37.5112,126.9741,200
1.228.176.0/22,1834885,36.9167,126.6667,20
1.228.180.0/23,1834885,36.9167,126.6667,20
1.228.182.0/23,11523293,36.6092,127.2919,20
1.228.184.0/21,1835841,37.5112,126.9741,200
1.228.192.0/20,1835841,37.5112,126.9741,200
1.228.208.0/21,1835841,37.5112,126.9741,200
1.228.216.0/21,1838343,36.9947,127.0889,50
1.228.224.0/20,1835841,37.5112,126.9741,200
1.228.240.0/21,1843564,37.4562,126.7288,20
1.228.248.0/21,1835841,37.5112,126.9741,200
1.229.0.0/21,1835841,37.5112,126.9741,200
1.229.8.0/21,1835848,37.5985,126.9783,10
1.229.16.0/22,1835848,37.5985,126.9783,10
